variable,level,spec,ADF_nlag,ADF_tau,DFGLS_nlag,DFGLS_tau,KPSS_nlag,KPSS_tau,Result
RHFG,d0,trend,12,-3.41*  ,12,-3.23** ,16,0.12,TS
,d0,constant,12,-1.55,12,-0.51,16,1.94***,
,d1,trend,11,-4.77***,11,-4.72***,16,0.038,
,d1,constant,11,-4.78***,11,-4.46***,16,0.038,
RHWS,d0,trend,9,-2.38,9,-1.98,14,0.21** ,I(1)
,d0,constant,9,-1.96,9,-0.22,14,1.12***,
,d1,trend,8,-4.49***,8,-4.36***,14,0.044,
,d1,constant,8,-4.45***,8,-3.59***,14,0.11,
RHXB,d0,trend,1,-2.39,1,-2.48,14,0.20** ,I(1)
,d0,constant,1,-2.1,1,-1.13,14,0.89***,
,d1,trend,1,-9.83***,8,-1.92,14,0.069,
,d1,constant,1,-9.85***,8,-0.63,14,0.072,
RWFG,d0,trend,12,-2.89,12,-2.87*  ,16,0.17** ,I(1)
RWFG,d0,constant,7,-1.52,7,-0.66,16,1.71***,
RWFG,d1,trend,6,-8.62***,11,-4.99***,16,0.04,
RWFG,d1,constant,6,-8.63***,11,-4.00***,16,0.044,
RGFG,d0,trend,12,-4.89***,12,-4.63***,16,0.12*  ,TS
RGFG,d0,constant,10,-1.66,10,-0.52,16,1.91***,
RGFG,d1,trend,12,-4.02***,12,-4.00***,16,0.03,
RGFG,d1,constant,12,-4.02***,12,-3.96***,16,0.041,
RWWS,d0,trend,2,-2.63,2,-2.22,14,0.28***,
RWWS,d0,constant,2,-2.68*  ,6,-1.13,14,0.36*  ,
RWWS,d1,trend,5,-6.76***,1,-10.77***,14,0.047,
RWWS,d1,constant,5,-6.75***,5,-6.77***,14,0.085,
RGWS,d0,trend,1,-3.04,1,-2.99** ,14,0.11,
RGWS,d0,constant,1,-1.87,1,-0.48,14,1.14***,
RGWS,d1,trend,0,-11.30***,0,-11.01***,14,0.039,
RGWS,d1,constant,0,-11.32***,0,-10.97***,14,0.038,
