variable,data,level,spec,ADF,ERS,PP,KPSS,
RHFG_0,none,d0,constant,1.18,-0.33,-1.4,5.21***,
RHFG_0,none,d0,trend,5.07,-2.91** ,-2.98,0.27***,
RHFG_0,none,d1,constant,83.73***,-7.25***,-13.59***,0.034,I1
RHFG_NR,none,d0,constant,1.4,-0.45,-1.47,5.11***,
RHFG_NR,none,d0,trend,5.12,-2.77*  ,-2.96,0.28***,
RHFG_NR,none,d1,constant,78.22***,-7.10***,-15.40***,0.036,I1
RHFG_BR,none,d0,constant,1.8,-0.26,-1.75,4.15***,
RHFG_BR,none,d0,trend,4.24,-2.5,-2.66,0.31***,
RHFG_BR,none,d1,constant,78.63***,-6.73***,-14.74***,0.047,I1
RHFG_SI,none,d0,constant,1.74,-0.23,-1.77,4.20***,
RHFG_SI,none,d0,trend,5.05,-2.67*  ,-2.82,0.28***,
RHFG_SI,none,d1,constant,62.33***,-5.77***,-14.63***,0.042,I1
RHFG_SU,none,d0,constant,2,-0.39,-1.79,4.18***,
RHFG_SU,none,d0,trend,4.41,-2.79*  ,-2.73,0.28***,
RHFG_SU,none,d1,constant,74.51***,-5.71***,-14.38***,0.046,I1
RHFG_UR,none,d0,constant,1.77,-0.34,-1.63,4.15***,
RHFG_UR,none,d0,trend,4.25,-2.67*  ,-2.68,0.30***,
RHFG_UR,none,d1,constant,76.85***,-6.35***,-14.82***,0.041,I1
RWFG_0,none,d0,constant,1.81,-0.85,-1.94,4.52***,
RWFG_0,none,d0,trend,5.2,-2.93** ,-3.02,0.40***,
RWFG_0,none,d1,constant,37.26***,-7.07***,-14.27***,0.033,I1
RWFG_NS,none,d0,constant,3.85*  ,-1.51,-2.75*  ,0.76***,
RWFG_NS,none,d0,trend,7.45** ,-1.9,-3.22*  ,0.16** ,
RWFG_NS,none,d1,constant,15.49***,-5.06***,-8.87***,0.092,I1
RWFG_KP,none,d0,constant,5.75** ,-1.51,-2.88*  ,0.66** ,
RWFG_KP,none,d0,trend,9.06***,-1.94,-3.27*  ,0.15** ,
RWFG_KP,none,d1,constant,35.30***,-4.53***,-9.19***,0.087,I1
RWFG_PC,none,d0,constant,4.48*  ,-1.49,-2.87*  ,0.68** ,
RWFG_PC,none,d0,trend,7.64** ,-1.9,-3.27*  ,0.14*  ,
RWFG_PC,none,d1,constant,37.97***,-5.24***,-8.85***,0.083,I1
RWFG_PS,none,d0,constant,4.53*  ,-1.4,-2.85*  ,0.60** ,
RWFG_PS,none,d0,trend,9.04***,-1.84,-3.21*  ,0.18** ,
RWFG_PS,none,d1,constant,37.10***,-4.44***,-8.86***,0.098,I1
RWFG_SH,none,d0,constant,5.41** ,-1.55,-2.98** ,0.66** ,
RWFG_SH,none,d0,trend,8.00** ,-2.01,-3.30*  ,0.22***,
RWFG_SH,none,d1,constant,30.28***,-6.05***,-10.15***,0.073,I1
RGFG_0,none,d0,constant,0.96,-0.02,-1.02,5.07***,
RGFG_0,none,d0,trend,4.78,-2.80*  ,-2.79,0.29***,
RGFG_0,none,d1,constant,56.39***,-7.01***,-13.05***,0.05,I1
RGFG_UN,none,d0,constant,0.97,0.19,-0.92,5.15***,
RGFG_UN,none,d0,trend,4.98,-2.74*  ,-2.95,0.26***,
RGFG_UN,none,d1,constant,88.84***,-7.34***,-15.17***,0.059,I1
RGFG_SN,none,d0,constant,1.24,-0.14,-1.35,5.12***,
RGFG_SN,none,d0,trend,5.53*  ,-2.80*  ,-3.19*  ,0.29***,
RGFG_SN,none,d1,constant,95.09***,-6.20***,-13.75***,0.033,I1
RGFG_KK,none,d0,constant,0.97,0.14,-0.98,5.00***,
RGFG_KK,none,d0,trend,4.39,-2.57*  ,-2.88,0.27***,
RGFG_KK,none,d1,constant,97.46***,-5.52***,-14.09***,0.06,I1
RGFG_MS,none,d0,constant,0.94,-1.42,-1.26,4.87***,
RGFG_MS,none,d0,trend,3.94,-1.37,-4.86***,0.30***,
RGFG_MS,none,d1,constant, 99.84***,-0.4,-12.63***,0.27,I1
RGFG_KL,none,d0,constant,0.92,-0.47,-1.34,3.22***,
RGFG_KL,none,d0,trend,3.66,-2.44,-2.56,0.31***,
RGFG_KL,none,d1,constant,80.44***,-5.47***,-12.12***,0.055,I1
RHWS,none,d0,constant,2.27,-0.094,-2.04,3.02***,
RHWS,none,d0,trend,3.17,-1.83,-2.32,0.54***,
RHWS,none,d1,constant,49.13***,-5.02***,-11.71***,0.1,I1
RWWS,none,d0,constant,3.65,-1.13,-2.67*  ,0.89***,
RWWS,none,d0,trend,3.57,-1.96,-2.64,0.70***,
RWWS,none,d1,constant,58.61***,-6.66***,-9.79***,0.062,I1
RGWS,none,d0,constant,2.03,-0.57,-1.58,2.82***,
RGWS,none,d0,trend,4.48,-3.29** ,-2.7,0.23***,
RGWS,none,d1,constant,46.42***,-4.18***,-11.20***,0.043,I1
RHXB,none,d0,constant,1.68,-0.6,-1.51,2.43***,
RHXB,none,d0,trend,2.61,-1.84,-2.12,0.50***,
RHXB,none,d1,constant,42.27***,-0.77,-11.42***,0.061,I1
RWXB,none,d0,constant,4.23*  ,-1.05,-2.78*  ,0.68** ,
RWXB,none,d0,trend,4.12,-1.93,-2.75,0.57***,
RWXB,none,d1,constant,43.62***,-4.03***,-8.97***,0.06,I1
RGXB,none,d0,constant,2.47,-0.54,-1.8,2.36***,
RGXB,none,d0,trend,4.05,-2.55,-2.68,0.36***,
RGXB,none,d1,constant,48.77***,-2.16** ,-12.38***,0.04,I1
